t_s,GR07_temp_c,GR07_sem_c,GR07_sigma_c,GR07_rate_hz,GR07_observable_ns,GR07_n,GR07_rejected,GR06_temp_c,GR06_sem_c,GR06_sigma_c,GR06_rate_hz,GR06_observable_ns,GR06_n,GR06_rejected
1.5809,22.970775,0.003146,2.324698,907589.643754,1101.887375,545990,0,23.034494,0.012343,0.619236,141210.780776,7081.643226,2517,0
3.1623,22.904323,0.003229,2.318413,907385.975429,1102.134340,515541,0,23.085459,0.012533,0.611046,141235.079152,7080.424064,2377,0
4.7342,22.991758,0.003238,2.325331,907653.955306,1101.809337,515694,0,23.080346,0.012265,0.598085,141232.641678,7080.544996,2378,0
6.3178,22.967176,0.003240,2.326334,907578.616046,1101.900859,515651,0,23.002147,0.012440,0.606644,141195.358887,7082.415475,2378,0
7.9023,22.980600,0.003236,2.323891,907619.759220,1101.850766,515674,0,22.923415,0.012561,0.612516,141157.822379,7084.299411,2378,0
9.4882,23.004115,0.003444,2.323091,907691.830182,1101.763231,455042,0,23.050965,0.013097,0.599744,141218.633878,7081.247496,2097,0
11.0786,23.060533,0.003239,2.326025,907864.748025,1101.553548,515813,0,23.101527,0.012608,0.614708,141242.739919,7080.040387,2377,0
12.6582,23.005565,0.003240,2.326706,907696.274573,1101.758046,515718,0,22.996104,0.012473,0.608262,141192.478040,7082.560135,2378,0
14.2340,22.985568,0.003448,2.325654,907634.986041,1101.832383,455014,0,22.999953,0.013058,0.598086,141194.312784,7082.467112,2098,0
15.8108,23.006987,0.003449,2.326778,907700.633226,1101.752760,455047,0,23.075617,0.013494,0.617950,141230.386832,7080.659990,2097,0
17.3952,22.580249,0.003372,2.273270,906392.708985,1103.339531,454392,0,23.046601,0.013500,0.618376,141216.553070,7081.353670,2098,0
18.9788,23.055300,0.003149,2.326863,907848.707953,1101.573059,546146,0,22.958409,0.012021,0.603071,141174.506234,7083.461263,2517,0
20.5563,22.987870,0.003447,2.325090,907642.039881,1101.823787,455018,0,23.095510,0.013995,0.641038,141239.871372,7080.186845,2098,0
22.1427,22.992531,0.003445,2.323678,907656.326228,1101.806362,455025,0,22.983133,0.013486,0.617711,141186.293633,7082.871306,2098,0
23.7242,22.946711,0.003446,2.324606,907515.890978,1101.976921,454954,0,22.946096,0.014020,0.642154,141168.635569,7083.759771,2098,0
25.3064,23.040963,0.003239,2.325865,907804.767853,1101.626321,515780,0,23.078546,0.012470,0.607946,141231.783607,7080.588978,2377,0
26.8936,22.958232,0.003234,2.322227,907551.201251,1101.933907,515636,0,23.056294,0.012437,0.606359,141221.174629,7081.120740,2377,0
28.4748,23.098172,0.003241,2.327861,907980.106983,1101.413699,515878,0,22.953224,0.012558,0.612411,141172.034355,7083.586207,2378,0
30.0648,23.042555,0.003149,2.326893,907809.644842,1101.620463,546123,0,23.043577,0.012436,0.624025,141215.111474,7081.426529,2518,0
31.6444,23.044212,0.003148,2.326303,907814.724001,1101.614265,546126,0,23.145971,0.011961,0.600193,141263.929234,7078.976966,2518,0
33.2317,23.004271,0.003446,2.324707,907692.308985,1101.762743,455043,0,23.107072,0.013548,0.620406,141245.383512,7079.908441,2097,0
34.8100,22.953812,0.003236,2.323700,907537.654771,1101.950441,515627,0,23.025499,0.012434,0.606322,141206.492355,7081.857023,2378,0
36.3942,22.981248,0.003446,2.324449,907621.743589,1101.848389,455008,0,23.095524,0.013241,0.606486,141239.878178,7080.183031,2098,0
37.9778,23.007692,0.003148,2.325897,907702.794409,1101.750085,546058,0,23.138517,0.011926,0.598459,141260.375667,7079.154885,2518,0
39.5636,22.989744,0.003449,2.326396,907647.782382,1101.816892,455021,0,23.042106,0.013350,0.611465,141214.410308,7081.460439,2098,0
41.1442,23.016877,0.003242,2.328365,907730.944820,1101.716061,515737,0,23.062627,0.012335,0.601524,141224.193777,7080.968881,2378,0
42.7279,22.963695,0.003445,2.323535,907567.944385,1101.913654,454981,0,22.985659,0.013352,0.611583,141187.497869,7082.810296,2098,0
44.3090,22.990438,0.003240,2.326684,907649.912196,1101.814323,515692,0,23.116612,0.012685,0.618473,141249.931928,7079.680269,2377,0
45.8903,23.069777,0.003243,2.328877,907893.079587,1101.519338,515830,0,23.091111,0.012605,0.614677,141237.774002,7080.289319,2378,0
47.4710,23.079741,0.003448,2.326361,907923.618105,1101.482140,455158,0,23.142935,0.013338,0.610939,141262.482171,7079.050524,2098,0
49.0685,23.008650,0.003449,2.326875,907705.728041,1101.746581,455049,0,23.252919,0.013229,0.605933,141314.918603,7076.423260,2098,0
50.6529,23.022137,0.003149,2.326820,907747.067502,1101.696403,546085,0,23.245538,0.012276,0.615997,141311.399667,7076.600477,2518,0
52.2364,23.090242,0.003448,2.326371,907955.804372,1101.443093,455175,0,23.287395,0.013471,0.616899,141331.355656,7075.601335,2097,0
53.8260,23.098913,0.003242,2.328745,907982.378273,1101.410995,515880,0,23.262921,0.012203,0.594933,141319.687024,7076.183424,2377,0
55.4137,22.947477,0.003239,2.325522,907518.237823,1101.974124,515617,0,22.920422,0.013410,0.653810,141156.395251,7084.375263,2377,0
57.0023,23.048604,0.003241,2.327733,907828.185049,1101.598013,515793,0,23.122967,0.012805,0.624433,141252.961708,7079.529016,2378,0
58.5829,23.135740,0.003451,2.328349,908095.252388,1101.274066,455245,0,22.980127,0.013609,0.623342,141184.860808,7082.943756,2098,0
60.1580,23.002174,0.003451,2.327730,907685.879973,1101.770723,455039,0,23.018972,0.013297,0.609063,141203.380728,7082.013346,2098,0
61.7351,23.036081,0.003450,2.327467,907789.804781,1101.644573,455092,0,23.079421,0.013358,0.611695,141232.200616,7080.568431,2097,0
63.3179,23.146147,0.003451,2.328240,908127.147709,1101.235379,455261,0,23.128711,0.013223,0.605650,141255.700204,7079.389895,2098,0
64.9044,23.094080,0.003241,2.327784,907967.565740,1101.428908,515871,0,23.030298,0.012665,0.617474,141208.780447,7081.743374,2377,0
66.4823,23.042549,0.003240,2.327146,907809.627461,1101.620499,515782,0,23.169155,0.012689,0.618645,141274.982903,7078.424905,2377,0
68.0609,22.967238,0.003445,2.323880,907578.803302,1101.900489,454986,0,23.011413,0.013189,0.603965,141199.776770,7082.193610,2097,0
69.6453,22.967939,0.003237,2.324236,907580.952859,1101.897900,515652,0,23.008148,0.012405,0.604778,141198.220099,7082.271771,2377,0
71.2267,23.234998,0.003438,2.319814,908399.470786,1100.904749,455397,0,23.025384,0.013470,0.616994,141206.437521,7081.860820,2098,0
72.8015,23.004740,0.003238,2.325090,907693.747012,1101.761020,515717,0,23.044185,0.012294,0.599502,141215.401171,7081.409588,2378,0
74.3781,23.018725,0.003241,2.327574,907736.608684,1101.709140,515740,0,22.983769,0.012234,0.596468,141186.596830,7082.854018,2377,0
75.9617,22.988370,0.003450,2.327262,907643.573814,1101.822051,455019,0,23.002566,0.013391,0.613348,141195.558890,7082.406101,2098,0
77.5471,23.054558,0.003241,2.327375,907846.432803,1101.575850,515803,0,22.994098,0.012285,0.599091,141191.521318,7082.607233,2378,0
79.1253,23.095653,0.003450,2.327931,907972.387272,1101.423067,455183,0,22.889278,0.013574,0.621751,141141.546862,7085.117255,2098,0
80.7137,23.022359,0.003448,2.325958,907747.746633,1101.695528,455070,0,22.893521,0.013263,0.607515,141143.569661,7085.014299,2098,0
82.2992,23.349925,0.003217,2.311575,908751.714691,1100.477535,516318,0,22.981011,0.012259,0.597810,141185.282164,7082.920101,2378,0
83.8878,23.253664,0.003230,2.320872,908456.681637,1100.835478,516150,0,22.946379,0.012779,0.623174,141168.770704,7083.751051,2378,0
85.4653,22.970092,0.003239,2.326254,907587.552899,1101.890004,515656,0,22.904127,0.012424,0.605855,141148.626537,7084.760303,2378,0
87.0430,22.952699,0.003444,2.322698,907534.244343,1101.954524,454963,0,22.983216,0.013081,0.599178,141186.333457,7082.867493,2098,0
88.6230,23.017010,0.003237,2.324930,907731.351660,1101.715367,515738,0,22.957213,0.012418,0.605418,141173.935790,7083.490114,2377,0
90.2022,22.960367,0.003448,2.325812,907557.746840,1101.926168,454976,0,22.919354,0.013368,0.612310,141155.886096,7084.396568,2098,0
91.7832,22.951728,0.003440,2.320008,907531.266685,1101.957983,454962,0,22.978008,0.013364,0.612133,141183.850467,7082.993327,2098,0
93.3644,23.049241,0.003449,2.326948,907830.137312,1101.595598,455112,0,22.866827,0.013396,0.613447,141130.842851,7085.653791,2097,0
94.9515,22.998532,0.003148,2.326190,907674.719167,1101.784181,546041,0,22.983315,0.012069,0.605604,141186.380540,7082.865766,2518,0
96.5388,22.953151,0.003236,2.323749,907535.628720,1101.952904,515626,0,22.924906,0.012279,0.598758,141158.532885,7084.262405,2378,0
98.1252,22.995313,0.003237,2.324885,907664.851871,1101.796083,515700,0,22.961578,0.012438,0.606408,141176.017193,7083.385780,2377,0
99.7036,22.977053,0.003240,2.326415,907608.885408,1101.864114,515668,0,22.901280,0.012668,0.617645,141147.268765,7084.829617,2377,0
101.2873,23.015257,0.003447,2.325480,907725.980680,1101.721918,455060,0,22.948052,0.013428,0.615047,141169.568529,7083.710200,2098,0
102.8735,23.020899,0.003148,2.326464,907743.270731,1101.700990,546082,0,22.924069,0.012347,0.619442,141158.133940,7084.284466,2517,0
104.4502,23.272157,0.003436,2.319091,908513.359399,1100.766697,455455,0,22.876556,0.012848,0.588505,141135.481500,7085.418494,2098,0
106.0356,22.994150,0.003237,2.324801,907661.289485,1101.800403,515698,0,22.942285,0.012340,0.601636,141166.818874,7083.846866,2377,0
107.6208,22.937017,0.003234,2.322386,907486.180426,1102.012870,515598,0,22.980346,0.012711,0.619705,141184.965227,7082.938157,2377,0
109.2055,22.914794,0.003142,2.321312,907418.067726,1102.095529,545886,0,23.018597,0.011795,0.591882,141203.202007,7082.020651,2518,0
