set_c,ref_c,ref_std_c,n_samples,GR07_rate_hz,GR07_sigma_hz,GR07_events_per_bin,GR07_clock_cycles,GR07_dist_to_whole_cycle,GR06_rate_hz,GR06_sigma_hz,GR06_events_per_bin
5.0000,4.9000,0.0603,8258,850106.1118,159.5975,8556.0000,75.2847,0.2847,131241.6667,52.7040,45.0000
10.0000,10.1000,0.1021,8671,864724.1135,22.1200,8556.0000,74.0120,0.0120,134006.8197,54.4728,45.0000
15.0000,15.1000,0.0833,8744,877160.3258,52.3921,8732.0000,72.9627,0.0373,136730.2873,55.7836,45.0000
20.0000,20.1000,0.1826,8522,891781.5347,158.0328,8912.0000,71.7665,0.2335,139192.3609,57.3061,45.0000
25.0000,24.9000,0.2741,8428,907151.4857,185.9600,9095.0000,70.5505,0.4495,141662.5258,58.6104,45.0000
30.0000,29.8000,0.0397,8700,925648.3868,116.4294,9095.0000,69.1407,0.1407,144256.1196,57.9721,45.0000
35.0000,34.8000,0.0748,8619,940342.3022,67.8834,9281.0000,68.0603,0.0603,146703.2621,59.1224,45.0000
40.0000,39.7000,0.0484,8574,954739.1613,46.0071,9471.0000,67.0340,0.0340,149075.1898,59.8006,45.0000
45.0000,44.7000,0.0000,8704,969309.4339,38.9929,9664.0000,66.0264,0.0264,151394.9491,59.4838,45.0000
50.0000,49.7000,0.0000,8707,984036.2984,50.9518,9664.0000,65.0383,0.0383,153662.5661,59.6128,45.0000
55.0000,54.7000,0.0291,8709,999108.7236,66.9065,9862.0000,64.0571,0.0571,155965.1786,59.4125,45.0000
60.0000,59.7000,0.0436,8662,1013595.4255,114.6398,10067.0000,63.1416,0.1416,158192.4076,59.1567,45.0000
65.0000,64.7000,0.0000,8240,1027248.5521,163.5357,10273.0000,62.3024,0.3024,160203.0524,53.5559,45.0000
70.0000,69.4000,0.0378,8272,1036630.4502,148.6599,10273.0000,61.7385,0.2615,162273.7342,53.9762,45.0000
