t_rel_s,chamber_set_c,chamber_actual_c,chamber_on,GR07_rate_hz,GR06_rate_hz
0.497,40.000,41.000,0,942804.676,147909.262
1.506,40.000,41.000,0,942800.918,147948.651
2.501,40.000,41.000,1,942706.560,147922.766
3.503,5.000,41.000,1,942665.942,147733.256
4.506,5.000,40.964,1,943099.082,147962.495
5.507,5.000,40.877,1,942885.243,147962.888
6.511,5.000,40.777,1,942903.894,148009.135
7.500,5.000,40.676,1,942892.600,148000.788
8.500,5.000,40.588,1,943007.979,148013.721
9.500,5.000,40.489,1,942924.992,147999.078
10.505,5.000,40.381,1,942969.774,147972.388
11.497,5.000,40.200,1,943406.595,147930.986
12.490,5.000,40.193,1,943257.284,147931.862
13.496,5.000,40.097,1,943146.353,147790.665
14.507,5.000,40.000,1,943193.405,147735.318
15.511,5.000,39.901,1,943211.292,147896.232
16.498,5.000,39.900,1,943314.943,147966.616
17.504,5.000,39.804,1,943420.733,147956.864
18.488,5.000,39.706,1,943375.826,147989.750
19.498,5.000,39.700,1,943495.427,147919.357
20.502,5.000,39.613,1,943528.284,147988.395
21.507,5.000,39.515,1,943553.101,147811.699
22.505,5.000,39.500,1,943498.102,147968.733
23.508,5.000,39.423,1,943421.303,147958.228
24.515,5.000,39.400,1,943558.426,147949.573
25.500,5.000,39.340,1,943592.835,147977.752
26.510,5.000,39.300,1,943449.982,147937.119
27.487,5.000,39.300,1,943282.068,147986.261
28.495,5.000,39.240,1,943358.830,148001.999
29.500,5.000,39.200,1,943498.785,147973.499
30.486,5.000,39.147,1,943444.389,147781.056
31.499,5.000,39.100,1,943456.115,147971.584
32.505,5.000,39.100,1,943420.988,147865.629
33.519,5.000,39.056,1,943358.188,147961.414
34.492,5.000,39.000,1,943293.457,147938.016
35.497,5.000,38.962,1,943328.515,147990.210
36.497,5.000,38.900,1,943381.689,147963.441
37.503,5.000,38.900,1,943582.834,147950.544
38.495,5.000,38.875,1,943380.699,147925.022
39.501,5.000,38.800,1,943326.568,147933.597
40.491,5.000,38.800,1,943214.076,147853.900
41.493,5.000,38.778,1,943199.634,147782.296
42.505,5.000,38.700,1,943287.866,147942.296
43.503,5.000,38.700,1,943215.861,147943.596
44.502,5.000,38.700,1,943138.718,147948.438
45.500,5.000,38.689,1,943196.315,147927.717
46.496,5.000,38.600,1,943059.140,147790.985
47.503,5.000,38.600,1,942984.183,147942.554
48.495,5.000,38.600,1,942964.755,147895.774
49.494,5.000,38.508,1,943109.898,147899.053
50.499,5.000,38.500,1,943008.978,147835.668
51.508,5.000,38.500,1,942973.579,147911.827
52.501,5.000,38.500,1,942916.087,147900.956
53.500,5.000,38.417,1,942733.277,147904.071
54.497,5.000,38.400,1,942795.986,147913.517
55.502,5.000,38.400,1,942808.150,147824.065
56.504,5.000,38.400,1,942733.397,147928.985
57.498,5.000,38.332,1,942807.053,147975.858
58.501,5.000,38.300,1,942674.803,147877.010
59.500,5.000,38.300,1,942700.948,147748.946
60.508,5.000,38.245,1,942784.283,147874.606
61.495,5.000,38.200,1,942640.083,147894.502
62.497,5.000,38.200,1,942681.452,147862.161
63.491,5.000,38.200,1,942567.736,147809.094
64.497,5.000,38.151,1,942615.013,147782.443
65.501,5.000,38.100,1,942519.448,147862.475
66.501,5.000,38.100,1,942550.907,147847.802
67.498,5.000,38.100,1,942446.275,147833.187
68.505,5.000,38.066,1,942841.002,147774.225
69.512,5.000,38.000,1,942509.145,147728.113
70.498,5.000,38.000,1,942371.637,147630.527
71.504,5.000,38.000,1,942224.419,147693.370
72.496,5.000,37.987,1,942287.185,147833.630
73.504,5.000,37.900,1,942368.198,147810.767
74.499,5.000,37.900,1,942243.657,147832.709
75.499,5.000,37.900,1,942157.380,147794.445
76.501,5.000,37.900,1,942150.982,147777.423
77.498,5.000,37.900,1,942166.144,147747.560
78.505,5.000,37.805,1,942085.026,147726.973
79.501,5.000,37.800,1,942111.462,147769.167
80.504,5.000,37.800,1,942055.011,147791.669
81.493,5.000,37.800,1,942054.591,147774.804
82.497,5.000,37.721,1,941986.090,147756.624
83.501,5.000,37.700,1,941932.623,147676.434
84.507,5.000,37.700,1,941915.715,147616.875
85.499,5.000,37.700,1,941961.150,147494.173
86.494,5.000,37.637,1,941952.376,147739.179
87.500,5.000,37.600,1,941920.013,147729.272
88.502,5.000,37.600,1,941895.714,147694.956
89.503,5.000,37.600,1,941819.437,147735.050
90.501,5.000,37.600,1,941829.720,147831.460
91.505,5.000,37.543,1,941838.269,147832.307
92.497,5.000,37.500,1,941767.621,147734.476
93.497,5.000,37.500,1,941744.712,147816.314
94.495,5.000,37.500,1,941725.837,147713.976
95.501,5.000,37.500,1,941755.653,147671.504
96.496,5.000,37.473,1,941751.797,147625.315
97.498,5.000,37.400,1,941673.710,147696.993
98.494,5.000,37.400,1,941792.191,147666.703
99.501,5.000,37.400,1,941643.700,147576.857
100.504,5.000,37.380,1,941625.410,147615.380
101.503,5.000,37.300,1,941573.546,147643.555
102.497,5.000,37.300,1,941569.028,147654.079
103.492,5.000,37.300,1,941623.819,147640.622
104.495,5.000,37.300,1,941548.143,147655.537
105.496,5.000,37.299,1,941570.583,147633.714
106.486,5.000,37.200,1,941551.443,147551.697
107.501,5.000,37.200,1,941512.324,147608.096
108.506,5.000,37.200,1,941498.088,147629.739
109.507,5.000,37.200,1,941503.556,147604.068
110.501,5.000,37.200,1,941629.924,147460.721
111.500,5.000,37.116,1,941525.134,147345.276
112.498,5.000,37.100,1,941637.798,147546.262
113.501,5.000,37.100,1,941615.239,147421.320
114.497,5.000,37.100,1,941620.374,147569.867
115.498,5.000,37.100,1,941555.956,147554.299
116.496,5.000,37.035,1,941486.996,147521.392
117.500,5.000,37.000,1,941442.856,147458.568
118.505,5.000,36.939,1,941382.475,147496.483
119.500,5.000,36.841,1,941336.917,147430.078
120.497,5.000,36.753,1,941308.929,147371.072
121.499,5.000,36.654,1,941259.520,147346.897
122.498,5.000,36.555,1,941233.414,147288.235
123.499,5.000,36.455,1,941200.316,147237.217
124.502,5.000,36.367,1,941184.840,147097.060
125.496,5.000,36.238,1,941160.022,147088.766
126.489,5.000,36.073,1,941140.043,146828.845
127.499,5.000,35.922,1,941091.191,146925.964
128.498,5.000,35.687,1,941019.016,146628.287
129.501,5.000,35.577,1,940891.324,146774.127
130.493,5.000,35.385,1,940717.952,146711.731
131.501,5.000,35.191,1,940505.758,146638.581
132.498,5.000,34.999,1,940101.253,146458.548
133.490,5.000,34.900,1,939607.207,146458.864
134.505,5.000,34.704,1,938998.753,146218.803
135.487,5.000,34.604,1,938448.097,146230.108
136.501,5.000,34.420,1,937275.310,146257.631
137.502,5.000,34.309,1,936344.426,146152.426
138.509,5.000,34.121,1,935211.748,146063.640
139.496,5.000,34.013,1,934193.123,145910.013
140.497,5.000,33.834,1,933284.726,145899.446
141.498,5.000,33.732,1,932083.628,145828.631
142.499,5.000,33.567,1,930516.007,145724.649
143.493,5.000,33.370,1,929769.920,145650.080
144.509,5.000,33.237,1,929215.166,145462.942
