t_rel_s,t_unix,GR07_temp_c,GR07_sem_c,GR07_rate_hz,GR07_events,GR06_temp_c,GR06_sem_c,GR06_rate_hz,GR06_events,capture
0.008500,1785530208.365233,23.11386,0.01451,912516.2231,15512,23.05420,0.07325,141559.0841,71,0
0.025500,1785530208.382233,23.11970,0.01451,912534.2078,15513,23.14388,0.07325,141601.9390,71,0
0.042500,1785530208.399233,23.10268,0.01451,912481.7750,15511,23.27155,0.07325,141662.9551,71,0
0.059500,1785530208.416233,23.06718,0.01451,912372.4458,15510,23.27142,0.07325,141662.8942,71,0
0.076500,1785530208.433233,23.04874,0.01451,912315.6528,15509,23.24991,0.07274,141652.6125,72,0
0.093500,1785530208.450233,23.03752,0.01451,912281.0673,15508,23.19568,0.07325,141626.6988,71,0
0.110500,1785530208.467233,23.12532,0.01451,912551.5176,15513,22.97846,0.07325,141522.8839,71,0
0.127500,1785530208.484233,23.12502,0.01451,912550.5969,15513,23.33739,0.07325,141694.4196,71,0
0.144500,1785530208.501233,23.08993,0.01451,912442.5073,15510,23.25706,0.07325,141656.0303,71,0
0.161500,1785530208.518233,23.10247,0.01451,912481.1456,15512,23.40381,0.07325,141726.1658,71,0
0.178500,1785530208.535233,23.08300,0.01451,912421.1535,15511,23.06785,0.07325,141565.6058,71,0
0.195500,1785530208.552233,23.03817,0.01451,912283.0829,15508,23.22199,0.07274,141639.2727,72,0
0.212500,1785530208.569233,23.04525,0.01451,912304.8759,15508,23.50365,0.07325,141773.8805,71,0
0.229500,1785530208.586233,23.09104,0.01451,912445.9233,15511,23.26686,0.07325,141660.7154,71,0
0.246500,1785530208.603233,23.09885,0.01451,912469.9946,15512,23.38972,0.07325,141719.4301,71,0
0.263500,1785530208.620233,23.14407,0.01451,912609.2571,15514,23.17228,0.07325,141615.5134,71,0
0.280500,1785530208.637233,23.14488,0.01451,912611.7709,15514,23.14811,0.07325,141603.9648,71,0
0.297500,1785530208.654233,23.10324,0.01451,912483.5049,15511,23.08208,0.07325,141572.4080,71,0
0.314500,1785530208.671233,23.13167,0.01451,912571.0747,15513,23.16102,0.07274,141610.1313,72,0
0.331500,1785530208.688233,23.08167,0.01451,912417.0658,15511,22.94509,0.07325,141506.9369,71,0
0.348500,1785530208.705233,23.20494,0.01451,912796.7347,15517,23.03004,0.07325,141547.5363,71,0
0.365500,1785530208.722233,23.10784,0.01451,912497.6768,15512,23.07278,0.07325,141567.9637,71,0
0.382500,1785530208.739233,23.08498,0.01451,912427.2518,15511,23.19552,0.07325,141626.6218,71,0
0.399500,1785530208.756233,23.08065,0.01451,912413.9209,15510,23.07734,0.07325,141570.1418,71,0
0.416500,1785530208.773233,23.09380,0.01451,912454.4119,15511,23.29011,0.07325,141671.8238,71,0
0.433500,1785530208.790233,23.19584,0.01451,912768.7221,15517,23.29457,0.07325,141673.9561,71,0
0.450500,1785530208.807233,23.02791,0.01451,912251.4856,15507,23.06801,0.07274,141565.6831,72,0
0.467500,1785530208.824233,23.00461,0.01451,912179.7017,15507,23.03518,0.07325,141549.9908,71,0
0.484500,1785530208.841233,23.02578,0.01451,912244.9144,15507,23.02114,0.07325,141543.2806,71,0
0.501500,1785530208.858233,23.01158,0.01451,912201.1814,15507,23.00643,0.07325,141536.2537,71,0
0.518500,1785530208.875233,22.91086,0.01452,911890.9649,15502,22.99212,0.07325,141529.4150,71,0
0.535500,1785530208.892233,22.85649,0.01452,911723.4989,15498,22.94497,0.07325,141506.8808,71,0
0.552500,1785530208.909233,22.88394,0.01452,911808.0463,15500,22.93599,0.07325,141502.5893,71,0
0.569500,1785530208.926233,22.95451,0.01452,912025.4137,15504,22.96990,0.07274,141518.7945,72,0
0.586500,1785530208.943233,22.97978,0.01452,912103.2469,15505,22.93617,0.07325,141502.6720,71,0
0.603500,1785530208.960233,22.99622,0.01452,912153.8719,15506,22.84116,0.07325,141457.2700,71,0
0.620500,1785530208.977233,22.86414,0.01452,911747.0506,15499,22.96391,0.07325,141515.9335,71,0
0.637500,1785530208.994233,23.02359,0.01451,912238.1852,15508,22.84616,0.07325,141459.6581,71,0
0.654500,1785530209.011233,23.08104,0.01451,912415.1146,15510,22.84618,0.07325,141459.6686,71,0
0.671500,1785530209.028233,23.02954,0.01451,912256.5006,15508,22.83221,0.07325,141452.9894,71,0
0.688500,1785530209.045233,22.99291,0.01452,912143.6748,15506,23.04930,0.07274,141556.7409,72,0
0.705500,1785530209.062233,22.99569,0.01452,912152.2297,15506,23.19078,0.07325,141624.3563,71,0
0.722500,1785530209.079233,23.01808,0.01451,912221.1911,15507,23.14809,0.07325,141603.9541,71,0
0.739500,1785530209.096233,23.00533,0.01452,912181.9416,15506,23.00675,0.07325,141536.4069,71,0
0.756500,1785530209.113233,23.10400,0.01451,912485.8283,15512,22.95465,0.07325,141511.5039,71,0
0.773500,1785530209.130233,23.09513,0.01451,912458.5089,15511,22.98296,0.07325,141525.0374,71,0
0.790500,1785530209.147233,23.06087,0.01451,912353.0026,15510,22.89309,0.07325,141482.0858,71,0
0.807500,1785530209.164233,23.05513,0.01451,912335.3081,15509,22.82730,0.07325,141450.6463,71,0
0.824500,1785530209.181233,23.04021,0.01451,912289.3606,15508,23.05391,0.07274,141558.9456,72,0
0.841500,1785530209.198233,23.06156,0.01451,912355.1326,15510,23.20483,0.07325,141631.0710,71,0
0.858500,1785530209.215233,23.10249,0.01451,912481.1797,15511,23.28548,0.07325,141669.6144,71,0
0.875500,1785530209.232233,23.08822,0.01451,912437.2441,15511,23.08694,0.07325,141574.7300,71,0
0.892500,1785530209.249233,23.09504,0.01451,912458.2360,15511,23.20985,0.07325,141633.4693,71,0
0.909500,1785530209.266233,23.21214,0.01451,912818.9303,15518,23.07221,0.07325,141567.6870,71,0
0.926500,1785530209.283233,23.07593,0.01451,912399.3766,15510,23.10578,0.07325,141583.7313,71,0
0.943500,1785530209.300233,23.12740,0.01451,912557.9173,15513,23.22201,0.07274,141639.2785,72,0
0.960500,1785530209.317233,23.15554,0.01451,912644.5811,15514,23.17175,0.07325,141615.2621,71,0
0.977500,1785530209.334233,23.14515,0.01451,912612.5924,15514,23.04426,0.07325,141554.3336,71,0
0.994500,1785530209.351233,23.09644,0.01451,912462.5547,15511,22.88368,0.07325,141477.5900,71,0
1.011500,1785530209.368233,23.17217,0.01451,912695.8082,15516,22.91261,0.07325,141491.4147,71,0
1.028500,1785530209.385233,23.18749,0.01451,912743.0103,15516,23.00698,0.07325,141536.5147,71,0
1.045500,1785530209.402233,23.15002,0.01451,912627.5778,15514,22.85998,0.07325,141466.2612,71,0
1.062500,1785530209.419233,23.16637,0.01451,912677.9442,15515,23.02613,0.07274,141545.6660,72,0
1.079500,1785530209.436233,23.09637,0.01451,912462.3563,15511,22.96402,0.07325,141515.9845,71,0
1.096500,1785530209.453233,23.16438,0.01451,912671.8181,15515,22.99678,0.07325,141531.6403,71,0
1.113500,1785530209.470233,23.23515,0.01451,912889.8017,15519,22.94546,0.07325,141507.1161,71,0
1.130500,1785530209.487233,23.14940,0.01451,912625.6870,15514,22.85071,0.07325,141461.8316,71,0
1.147500,1785530209.504233,23.03982,0.01451,912288.1498,15508,23.01128,0.07325,141538.5696,71,0
1.164500,1785530209.521233,23.06731,0.01451,912372.8473,15510,22.95940,0.07325,141513.7746,71,0
1.181500,1785530209.538233,23.04887,0.01451,912316.0497,15509,22.96397,0.07325,141515.9589,71,0
1.198500,1785530209.555233,23.07344,0.01451,912391.7214,15510,23.31481,0.07274,141683.6298,72,0
1.215500,1785530209.572233,22.97790,0.01452,912097.4425,15505,23.20984,0.07325,141633.4648,71,0
1.232500,1785530209.589233,23.17706,0.01451,912710.8840,15515,23.09662,0.07325,141579.3532,71,0
1.249500,1785530209.606233,22.99444,0.01452,912148.3965,15506,23.15293,0.07325,141606.2661,71,0
1.266500,1785530209.623233,23.03201,0.01451,912264.1195,15508,22.96891,0.07325,141518.3222,71,0
1.283500,1785530209.640233,23.09444,0.01451,912456.3945,15511,23.21487,0.07325,141635.8694,71,0
1.300500,1785530209.657233,23.03854,0.01451,912284.2228,15509,23.16756,0.07325,141613.2574,71,0
1.317500,1785530209.674233,22.97171,0.01452,912078.3672,15504,23.08202,0.07274,141572.3759,72,0
1.334500,1785530209.691233,23.02754,0.01451,912250.3391,15508,23.18619,0.07325,141622.1620,71,0
1.351500,1785530209.708233,23.06755,0.01451,912373.5697,15510,23.33757,0.07325,141694.5068,71,0
1.368500,1785530209.725233,23.01398,0.01451,912208.5744,15507,23.11504,0.07325,141588.1556,71,0
1.385500,1785530209.742233,23.04093,0.01451,912291.5901,15508,23.18631,0.07325,141622.2180,71,0
1.402500,1785530209.759233,23.05860,0.01451,912346.0163,15509,23.02547,0.07325,141545.3519,71,0
1.419500,1785530209.776233,23.10343,0.01451,912484.0860,15512,22.82272,0.07325,141448.4573,71,0
1.436500,1785530209.793233,23.14240,0.01451,912604.1163,15514,22.61519,0.07325,141349.2761,71,0
1.453500,1785530209.810233,23.06564,0.01451,912367.6792,15509,22.82118,0.07274,141447.7206,72,0
1.470500,1785530209.827233,23.03558,0.01451,912275.1182,15508,22.92144,0.07325,141495.6338,71,0
1.487500,1785530209.844233,23.14996,0.01451,912627.3918,15514,22.99728,0.07325,141531.8809,71,0
